,text,created_at,author_id,id
83,"@Banesco Buenas tardes, con esta opción me pueden realizar depósitos desde afuera; en dolares?
@Banesco",2021-04-26T23:36:22.000Z,1243642486444240899,1386826517905293313
84,"@AutoresVzlanos @BajoTachon @isabeldiazvzla @ricarmeji @Banesco https://t.co/8Wym9hkJKQ
❤️❤️❤️❤️❤️❤️❤️",2021-04-26T22:58:13.000Z,1295599738994262022,1386816918837940229
85,"@Banesco Buenas tardes tengo 3 días intentado ingresar al pago  móvil, a la aplicación o por la página...
Y me dice tengo una sección abierta..",2021-04-26T21:52:10.000Z,434075858,1386800293950722052
86,#26Abril #Venezuela ¿Cuánto está dando @Banesco en efectivo por taquilla? 🤔💵,2021-04-26T21:23:03.000Z,447337647,1386792966702960641
87,https://t.co/wVMTeYcSnI @Banesco @LaPerco,2021-04-26T21:21:18.000Z,34853643,1386792525445443586
88,"@Banesco Al momento de guardar los datos, las referencias personales no se guardan.",2021-04-26T20:56:00.000Z,268008349,1386786161658630147
89,@Banesco Ok,2021-04-26T19:59:43.000Z,83600073,1386771996315377668
90,"@Banesco Buen día, tienen problema con la página, porque no abre",2021-04-26T19:52:54.000Z,115826255,1386770280585089028
91,"@Banesco También hice el reclamo por Banesco on line. Ya mi dinero se ha depreciado el 20 %. Tengo que esperar que no valga nada, por Dios. Revisen mi estado de cuenta. No veo porqué tanto retraso, si ya tienen las evidencias para hacerme el reintegro.",2021-04-26T19:49:37.000Z,1099460370996125697,1386769455607386118
92,"@Banesco Buenas tardes Sres Banesco. Que tengo que hacer para que reintegren a mi cuenta los 18.726.563,67 BS por doble cargo a Mi Tarjeta de Debito en día 17 de abril de 2021 en Cine Citta. Por qué el débil jurídico es el afectado. Envie correo electrónico, mensaje por Instagram y nada.",2021-04-26T19:47:40.000Z,1099460370996125697,1386768962948640773
93,"@banesco
Necesito transferir a la alcaldía sufre y me sale  esto: error en dígito verificador, por favor verifique e intente de nuevo ....
Todo el día intentado 
Que debo hacer ?",2021-04-26T19:38:42.000Z,83600073,1386766706589282314
94,"@Banesco Buenas ya van muchos días el dinero sigue devaluandose no me dan respuesta del pago movil q realice y nonse concreto, me dijeron q a las 48 hora devolverían ya van como 20 días  @SudebanInforma",2021-04-26T19:03:54.000Z,144278006,1386757947376680961
95,"@Banesco Buenas tardes, no he podido actualizar mis datos, las referencias personales no me las toma en cuenta",2021-04-26T18:44:10.000Z,268008349,1386752983245930502
96,@Banesco Lo hare cuando @cantv se digne en arreglarmelo,2021-04-26T18:30:10.000Z,274801537,1386749459200106501
97,"@Banesco Problemas en procesar un Pago Móvil, desde temprano intentando y da el mismo error https://t.co/h3VKz8APsX",2021-04-26T18:28:24.000Z,515629330,1386749016730488834
98,@Banesco Como hago para recuperar la clave telefónica y desbloquear usuario online..no puedo entrar a la cuenta,2021-04-26T18:09:16.000Z,118531411,1386744199622574082
99,@Banesco señores ya paso una semana y no me devuelven la compra q no paso y me quitaron el dinero ya meti reclamo y nada esos bs estan ya sin valor q pasa sean serios,2021-04-26T18:06:42.000Z,705392990,1386743552647045123
0,@tuitean28992530 @shiabertoni @isabeldiazvzla @Banesco @uncafeconshia Muchas Gracias!,2021-04-26T16:55:44.000Z,2282869417,1386725694688927750
1,@shiabertoni @BajoTachon @isabeldiazvzla @Banesco @uncafeconshia Enhorabuena Fanny @BajoTachon,2021-04-26T16:51:48.000Z,1346924030918537216,1386724707064590338
2,"@Banesco Buenos días, voy.",2021-04-26T15:52:06.000Z,1021563162242572291,1386709681146564611
3,@Banesco Error 2 días tratando! He probado diferente montos y usuarios y el error continua https://t.co/tuKbjOY80i,2021-04-26T15:37:26.000Z,109252716,1386705992008744966
4,@Banesco Este error tiene 2 días he probado distintos montos y cuentas y me sigue saliendo https://t.co/bnrlfBmw2j,2021-04-26T15:37:01.000Z,109252716,1386705887117692932
5,"@Sintrainces @silencioabs @eduardopiate2 @JCSantelizS @Wuikelman @nkcabrera @incesvzla @CentralASI @OITCinterfor @OITnoticias @CSA_TUCA @MPPEDUCACION @MinTrabajoVE @PresidencialVen @Defensoria_Vzla @ViceVenezuela #26Abril jugando al desgaste y a la necesidad d los trabajadores, @Wuikelman @nkcabrera nuevamente dejan a los cuenta nómina @BBVAProvincial sin quincena, mientras adelantan pagos a nóminas @BcodeVenezuela y @Banesco @NicolasMaduro @psuvaristobulo @mbachelet https://t.co/CeJDcTMrNi",2021-04-26T15:36:52.000Z,2571967309,1386705845644406790
6,@Banesco Está este error desde hace 2 días desde el pago movil y de la página web. He probado con diferent s usuarios y diferentes montos. https://t.co/I6eUbVcMxN,2021-04-26T15:35:35.000Z,109252716,1386705525820301318
7,"#Hoy | Cumpliendo las normas de bioseguridad personal @OAVALENCIAIVSS Visita las entidades bancarias, para el acompañamiento del Adulto y Adulta mayor seguimos avanzando en materia de seguridad social. @Banesco 
#SemanaFlexible @NicolasMaduro @MagaGutierrezV @ivssoficial https://t.co/DkQdt9DkWC",2021-04-26T15:22:44.000Z,2830368346,1386702289772163074
8,"@Banesco Buenos días les pido echarle un ojo a la sucursal guanare estado portuguesa ya que estoy solicitando una cuenta con el banco y me han echo solicitar dos veces la y voy hoy a preguntar cómo va el proceso, y me encuentro con la sorpresa que debo hacer otra cita.",2021-04-26T15:20:05.000Z,3105417687,1386701626031972359
9,"@patty300030 @Banesco Que broma, y necesito pagar algo por multipagos banesco",2021-04-26T15:00:58.000Z,105947360,1386696814947180549
10,@avila577 @Banesco Nada,2021-04-26T14:58:33.000Z,1021563162242572291,1386696204076163075
11,@Banesco desde ayer no me llega la #ClaveDeOperacionesEspeciales #ayuda,2021-04-26T14:55:21.000Z,104973040,1386695399872909312
12,@eduardiaz6 @Banesco @Baneskin Yo no llegan las claves,2021-04-26T14:53:58.000Z,1337292384,1386695050827112450
13,@eduardiaz6 @Banesco @Baneskin Yo también,2021-04-26T14:52:45.000Z,410134422,1386694746693902344
14,@patty300030 @Banesco Ya pudiste? Avisame cualquier cosa,2021-04-26T14:45:31.000Z,105947360,1386692924784660482
15,Alguien más tiene problemas con la clave de operaciones especiales de Banesco (no me llega) @Banesco @Baneskin,2021-04-26T14:31:46.000Z,75397952,1386689463598915587
16,"@patty300030 @Banesco a mi tampo, pense que era solo a mi",2021-04-26T13:53:32.000Z,105947360,1386679844663140358
17,@Banesco Que indignante los punto de venta de banesco pense que el servicio era mucho mejor y por eso me arriesgue adquirir dicho equipo. Como es posible que por una falla en la plataforma  todavia no me han hecho el credito a mi cuenta de lo facturado ese día.,2021-04-26T13:50:42.000Z,1385766127586979847,1386679129794297860
18,"#26Abr
#FelizLunes de #SemanaFlexible para todos!🙏

Menos para los LADRONES de @Banesco y @jescotet miserable, que diariamente sigue robando la plata a los usuarios del banco!",2021-04-26T13:47:04.000Z,2585714552,1386678213624180737
19,@Banesco Buenos días actualmente no me está llegando la clave de operaciones especiales! Algún problema actual en la plataforma ?,2021-04-26T13:44:36.000Z,919346575381532672,1386677593542365192
20,@patty300030 @Banesco A mi tampoco al celular...,2021-04-26T13:43:48.000Z,115068031,1386677392538746881
21,@Banesco Gracias,2021-04-26T13:39:40.000Z,1303701078488363008,1386676353198612481
22,@reldyet @Banesco @Baneskin Desde el sábado está así y hoy tampoco funciona,2021-04-26T13:26:26.000Z,257129117,1386673021725904897
23,"Buenas noticias: 
Luego de evaluar más de 1500 propuestas, el jurado eligió los microcuentos de Fanny Márquez @BajoTachon, Isabel Díaz @isabeldiazvzla y Ricardo Jesús Mejías @ricarmeji como primer, segundo y tercer lugar del 8vo. Concurso de Microcuentos #C280 de @Banesco. https://t.co/UXSUfGnk9t",2021-04-26T12:52:57.000Z,799371655,1386664596111568898
24,"@Banesco Por qué nunca abrieron una oficina en Tovar, estado Mérida? Una oficina que brindaría servicio a todo el valle del mocoties (Tovar, Bailadores, Zea, Santa Cruz y La Playa)",2021-04-26T12:52:29.000Z,138134826,1386664478046105610
25,@ricarmeji @BajoTachon @isabeldiazvzla @Banesco Ya lo vamos a corregir. Gracias y felicidades 💚,2021-04-26T12:51:16.000Z,799371655,1386664172188995586
26,"Luego de evaluar más de 1500 propuestas, el jurado eligió los microcuentos de Fanny Márquez @BajoTachon Isabel Díaz @isabeldiazvzla y Ricardo Jesús Mejías @ricarmejilos como primer, segundo y tercer lugar del 8vo. Concurso de Microcuentos #C280.
@Banesco @uncafeconshia",2021-04-26T12:50:34.000Z,82509977,1386663998360326151
27,@AutoresVzlanos @BajoTachon @isabeldiazvzla @Banesco enlace original https://t.co/xscKdjrsT6,2021-04-26T12:49:22.000Z,361960284,1386663696567517192
28,"@AutoresVzlanos @BajoTachon @isabeldiazvzla @Banesco Gracias por la nota, pero hay un error en mi usuario de twitter, es @ricarmeji.",2021-04-26T12:46:57.000Z,361960284,1386663088557105153
29,"@patty300030 @Banesco Eso estaba sucediendo ayer 
Mi Abog te recomiendo que descargues del play store la app de Banesco Ve y no necesitarás esperar clave de operaciones especiales al hacer tus transacciones",2021-04-26T12:17:11.000Z,293673198,1386655594069823490
30,@patty300030 @Banesco ah bueeeno mejor no diga mas eso jajaja eso lo sabemos,2021-04-26T12:10:33.000Z,139533540,1386653928234835970
31,"@Shangosito78 @Banesco Nada. Ya resolví por otra vía. Que fastidio, y movistar tampoco ayuda.",2021-04-26T12:09:47.000Z,1021563162242572291,1386653735401705474
32,"@Banesco Ayuda, está delicada, necesitamos todo el apoyo que nos puedan dar🙏 https://t.co/XR6Fhpkp7e",2021-04-26T12:06:53.000Z,352560905,1386653002732277762
33,@patty300030 @Banesco Al correo,2021-04-26T11:57:34.000Z,139533540,1386650660238761991
34,No me llega la clave de operaciones especiales @Banesco 😡,2021-04-26T11:56:21.000Z,1021563162242572291,1386650353958072323
